Course Title,Qualification Level,entry_requirements,description
Cleaning Operations,Certificate II,No minimum education,This qualification is part of the Property Services Training Package. It applies to individuals undertaking pre-vocational programs or those in the workforce responsible for routine cleaning work under supervision.
Children's Services (Outside school hours care),Certificate IV,No minimum education,"This qualification is part of the Community Services Training Package. It covers workers who conduct vacation programs as well as before and after school care activities for children of school age. These workers plan activities and provide care to children, facilitate their leisure and play, and enable them to achieve developmental outcomes. Workers in this area may work under direct supervision or autonomously, and may supervise volunteers and other workers."
Career Development,Certificate IV,No minimum education,"This qualification is part of the Community Services Training Package. It covers workers who provide a range of programs and services to individuals and groups of clients and employers to support them in planning their career and/or locating, securing and maintaining suitable employment. Workers at this level need an understanding of access and equity issues including cultural diversity, Aboriginal and/or Torres Strait Islander and disability issues, and to work with local communities in the provision of services. They may have limited supervisory responsibilities (e.g. in employment services context)."
Kinesiology,Certificate IV,No minimum education,"This qualification is part of the Health Training Package. It covers the skills needed to be an independent kinesiology practitioner who works with balancing energy through acupuncture meridians and with simple bodywork such as stimulating reflexes and muscle movements. It provides skills in kinesiology health assessment and balancing. This qualification offers the level of skill required for independent practice. However, practitioners may also be employed either by another practitioner or within a larger health service, clinic, aged care facility, or hospital."
Public Safety (Community Safety),Advanced Diploma,Certificate IV in Public Safety,"This qualification is part of the Public Safety Training Package. It allows for recognition, flexibility and portability for persons employed in the Public Safety industry. It allows for specialisation in the areas of community education, community liaison, buildings and facilities inspection, compliance audits and workplace emergency response."
Tertiary Preparation,Certificate IV,No minimum education,"This course provides students with the skills and knowledge to develop study and academic skills to access tertiary education and training pathways. Successful completion of this course may enable students to continue to further study, including vocational study at higher levels, such as diploma and advanced diploma courses and higher education undergraduate programs."
Surface Extraction Operations,Certificate III,Entry requirements may vary among providers. Prerequisite units may apply.,"This qualification is part of the Resources and Infrastructure Industry Training Package. It reflects the role of employees such as production operators in an open cut mine or quarry, who perform tasks involving a broad range of skilled applications in a varied work context, using some discretion and judgement in selecting equipment, services or contingency measures."
ESI - Power Systems - Distribution Cable Jointing,Certificate III,No minimum education,"This qualification is part of the Transmission, Distribution and Rail Sector Training Package. Those gaining this qualification will be able to acquire the skills and knowledge needed for a career in the Electricity Supply Industry. The scope of this qualification covers: Cable jointing such as the laying, installation and maintenance of de-energised low voltage and high voltage underground polymeric cables and the installation and maintenance of electrical equipment. Options are available for skills to be obtained for energised cables and or low voltage and high voltage paper insulated cables."
Hospital-Health Services Pharmacy Support,Certificate III,No minimum education,This qualification is part of the Health Training Package. It covers workers who provide a range of varied assistance to pharmacists in hospital and community health settings.
Timber Truss and Frame Manufacture,Diploma,This qualification may be accessed by completion of a relevant lower level qualification or recognition of vocational experience.,"This qualification is part of the Forest and Forest Products Training Package. It is designed for people employed or seeking employment at a managerial level in the timber truss and frame sector of the forest and forest products industry. It will provide students with skills, knowledge and/or recognition required for employment as a production manager in timber truss and frame operations."
Paramedical Science (Ambulance),Diploma,Prerequisite units from Certificate IV in Health Care (Ambulance),This qualification is part of the Health Training Package. It covers workers employed by State Ambulance authorities and non-emergency transport companies to provide emergency and non-emergency patient care and transport services.
Aged Care,Certificate III,No minimum education,"This qualification is part of the Community Services Training Package. It addresses work primarily in residential facilities under direct or regular supervision within clearly defined organisation guidelines and service plans. These workers carry out activities to maintain personal care and/or other activities of living for people in an aged care setting, carry out activities related to an individualised plan, report directly to a supervisor and are not responsible for other workers."
ESI Generation (Operations),Diploma,Certificate IV in ESI Generation - Operations,"This qualification is part of the Electricity Supply Industry - Generation Sector Training Package. It covers work functions such as development of operational procedures and systems, management of the start-up and shut-down of boilers and turbines, hydro plant, gas turbines, implementation of safe working practices and environmental procedures, management and supervision of others and coordination of work activities of individuals and/or teams."
Renewable Energy Engineering,Diploma,Entry requirements may vary among providers. Prerequisite units may apply.,"This qualification is part of the Electrotechnology Training Package. It provides competencies to develop, select, commission, maintain and diagnose faults/malfunctions on large scale renewable energy equipment and systems."
Pest Management,Certificate III,Must be employed in the industry or complete 160 hours of relevant experience,"This qualification is part of the Property Services Training Package. It reflects the role of pest controllers. It covers quotation and delivery of a pest management program, maintenance of equipment in a storage area and/or controlled pest management vehicle, responding to customer enquiries, assessing pest management options, modification of environments to manage pests, application of pesticides, testing and monitoring a pest program."
ESI - Power Systems - Transmission Overhead,Certificate III,No minimum education,"This qualification is part of the Transmission, Distribution and Rail Sector Training Package. Students will be able to acquire the skills and knowledge needed for a career in the Electricity Supply Industry. The scope of this qualification covers: Transmission overhead powerline industry such as erection of towers, poles, structures and associated hardware including the installation and maintenance of conductors and cables. Inspection procedures for overhead structures and electrical apparatus are also included."
Timber Truss and Frame Design and Manufacture,Certificate III,No minimum education,This qualification is part of the Forest and Forest Products Training Package. It is designed to equip students with the skills to design and manufacture timber trusses and frames by covering a wide range of practical units. Students can choose to follow one of the following specialised job roles: designer or production fabricator.
Sustainable Operations,Diploma,"No minimum education, however most enterprises will expect technical skills relevant to their operations or equivalent vocational experience","This qualification is part of the Sustainability Training Package. It provides the skills and knowledge required to work in a technical, supervisory or operational role in sustainability in an organisation and/or its value chain (e.g. suppliers of goods or services, or customers). The qualification has been developed with manufacturing operations as a focus. However, because of the range of organisations in a typical manufacturing value chain it may also be applied to other types of organisations."
Renewable Energy,Certificate IV,No minimum education,"This qualification is part of the Electrotechnology Training Package. It provides competencies to select, install, commission, fault find and maintain multiple renewable energy sources and equipment for control of energy use."
Fire Protection Inspection and Testing,Certificate III,No minimum education,"This qualification is part of the Property Services Training Package. It applies to fire protection technicians responsible for non-trade installation, commissioning and complex servicing of fire protection systems or for supervision of fire protection services work."
Pathology,Certificate III,Entry requirements may vary among providers.,"This qualification is part of the Health Training Package. It covers workers who undertake the collection of blood and other pathology specimens under supervision. It should be noted that this qualification does not cover collection of a range of specimens for specialised testing, collection of arterial blood gases or team leadership and training."
Community Cultural Development,Certificate III,The course is intended for persons applying for positions in community cultural development or those already employed in this industry sector. Persons are generally required to have a strong background in a particular culture or in artistic activity.,"This course is designed to provide individuals with the skills and knowledge to undertake the administrative responsibilities associated with cultural development projects managed by local government or community organisations. Community cultural development projects may cover a gamut of activities including theatre, performance, literary events, music and visual arts."
ESI - Power Systems,Diploma,No minimum education,"This qualification is part of the Transmission, Distribution and Rail Sector Training Package. It enables students to acquire skills and knowledge needed for a career in design, testing and/or system operation."
Health Support Services,Certificate II,No minimum education,This qualification is part of the Health Training Package. It covers workers who provide support for the effective functioning of health services. These workers do not provide direct care assistance functions such as assisting other staff with the care of clients. This is an entry-level qualification and is suited to apprenticeship pathways.
"Vocational Graduate Counselling (Addictions, Family Therapy, Loss and Grief)",Graduate Diploma,Relevant Vocational Graduate Certificate,"This course provides students with the opportunity to focus on a specialist area of study in counselling: addictions, family therapy, or loss and grief. It covers ethics, self-reflective practice, and collaborative practice. The units covered in each specialist area cover the theory and application of counselling interventions relevant to the specific area of therapeutic practice."
Justice,Diploma,Certificate IV in Justice,"This course is designed to extend and enhance the skills gained in the Certificate IV in Justice. Students at this level are required to compile complex reports, undertake high level investigations, undertake higher level research, manage conflict, supervise staff in a number of justice-related occupations and understand, interpret and apply case law."
Employment Services,Certificate III,No minimum education,"This qualification is part of the Community Services Training Package. It covers workers who provide a range of services to clients and employers aimed at locating, securing and maintaining suitable employment for clients."
Competitive Systems and Practices,Advanced Diploma,No minimum education. Certificate IV in Competitive Systems and Practices; or Diploma of Competitive Systems and Practices is recommended.,This qualification is part of the Sustainability Training Package. It specifies the competencies required by managers and technical specialists responsible for the implementation of competitive systems and practices in an organisation.
Sawmilling and Processing,Certificate III,No minimum education. Entry may be gained through progression from a lower level qualification or recognition of existing industry experience.,"This qualification is part of the Forest and Forest Products Training Package. It is for employees in the forest sawmilling and processing sector and covers a range of activities from sawing logs, producing hardwood or softwood chips, kiln drying, conducting end matching and finger-jointing operations to weighing loads."
Engineering Drafting,Certificate IV,No minimum education; credit for relevant units of competency,This qualification is part of the Metal and Engineering Training Package. It covers the skills and knowledge required for a detail draftsperson producing specialist engineering drawings within an engineering or manufacturing work environment.
Competitive Systems and Practices,Graduate Certificate,Relevant Certificate IV with relevant vocational experience; or relevant Diploma or Advanced Diploma; or relevant vocational experience at managerial level,This qualification is part of the Sustainability Training Package. It provides professional development training and recognition for people exercising leadership or change management functions in an organisation using lean principles and other competitive systems and practices.
Printing and Graphic Arts (Graphic Design Production),Certificate III,No minimum education. Certificate II in Printing and Graphic Arts (General) or Certificate II in Printing and Graphic Arts (Desktop Publishing) is recommended.,"This qualification is part of the Printing and Graphic Arts Training Package. While covering the design essentials this qualification focuses on the preparation of design where the application is for print production. It applies to individuals working in graphic design in the printing and graphic arts industry. They produce art and layouts of wording for reproduction in print and electronic media, such as magazines, newspapers, books and websites, and for corporate identity programs, exhibitions and advertising. They may also provide some leadership and guidance to others with some limited responsibility for the output of others."
Correctional Practice,Certificate IV,No minimum education,This qualification is part of the Correctional Services Training Package. It covers the competencies allowing experienced staff to reflect advanced practice and greater team leadership roles. It allows staff to achieve recognition for specialist organisational roles and for pathways into management roles and cross-sector specialisations.
Community Services Work,Certificate III,No minimum education,"This qualification is part of the Community Services Training Package. It applies to community work delivered through a broad range of services which provide support to individuals and groups. This level is appropriate for support workers, case workers and client contact officers who may provide day-to-day support in community settings and/or provide assistance with entitlements and benefits under the broad direction of others. Generally these positions have direct contact with clients, identify presenting needs and refer to appropriate services and support."
Home and Community Care,Certificate IV,Prerequisite units: Work effectively with older people; Work effectively with people with a disability; Work effectively with carers,"This qualification is part of the Community Services Training Package. It addresses work in client homes and other community settings within defined organisational guidelines and service plans. These workers: carry out activities related to maintaining an individual's wellbeing through personal care and/or other activities of living; may provide services to individuals with complex needs, and/or work with groups of older people; report to service managers and liaise with professionals and other service providers and may be required to supervise and/or coordinate a limited number of other workers."
Timber Merchandising,Certificate II,Relevant Certificate I or other qualification; or relevant vocational experience,"This qualification is part of the Forest and Forest Products Training Package. It is for employees in the sector and covers a range of activities including stock control, estimating and costing jobs, cutting and machining material and grading products and sales and customer service."
Visual Merchandising,Diploma,Year 12 or equivalent,"This qualification is part of the Retail Services Training Package. It provides skills and knowledge required by those who hold or wish to hold positions as specialist visual merchandisers in the retail industry. It applies to those who are working as a member of a retail national, state or store-based visual merchandising team; working in a business that designs and installs visual merchandising displays in the exhibition industry; or are self-employed as a freelance visual merchandiser."
Alcohol and Other Drugs,Certificate IV,No minimum education,"This qualification is part of the Community Services Training Package. It covers workers who provide a range of services and interventions to clients with alcohol and other drugs issues and/or implement health promotion and community interventions. Work may take place in a range of contexts such as community based organisations, residential rehabilitation services and outreach services. People at this level work autonomously under the broad guidance of other practitioners and professionals, and have specific knowledge of appropriate intervention processes in residential and community settings."
Traditional Chinese Medicine Remedial Massage (An Mo Tui Na),Diploma,Relevant Certificate IV or vocational experience,This qualification is part of the Health Training Package. It provides skills in Traditional Chinese Medicine (TCM) Remedial Massage (An Mo Tui Na) as well as specialist skills in treatment for women and children and in traumatology treatment. Holders of this qualification may also work in conjunction with practitioners qualified in other TCM areas of practice.
Home and Community Care,Certificate III,No minimum education,This qualification is part of the Community Services Training Package. It addresses work in client homes and other community settings under regular supervision within clearly defined organisational guidelines and service plans. These workers: carry out activities to maintain personal care and/or other activities of living for people in their own homes or in other community settings; carry out activities related to an individualised plan and report directly to a supervisor and are not responsible for other workers.
Understanding and Management of Diabetes,Certificate II,No minimum education,"This course aims to help raise awareness of diabetes and to help prevent or delay the onset of Type 2 diabetes in the first place and reduce complications due to diabetes, which is now recognised as a global epidemic. The course is ideal for anyone with diabetes looking to improve the long-term management of their condition."
Non-Emergency Client Transport,Certificate III,No minimum education,This qualification is part of the Health Training Package. It covers workers who provide non-emergency transport and care of clients. Transport services of this kind are usually pre-arranged/booked and time of response is not given a high priority in comparison to emergency transport. Clients are those requiring transport and/or client care for non-acute or chronic illness or disability.
Electronics and Communications,Certificate IV,Year 11; or mature age entry,"This qualification is part of the Electrotechnology Training Package. It provides competencies in audio/video, data systems and computer/network hardware, medical applications and communication aspects of electronic i.e. transmitters, communications medium/channel, receivers, attenuation, noise reduction. It includes detection/surveillance."
Operating Theatre Technical Support,Certificate IV,Specified units from Certificate III in Health Services Assistance,This qualification is part of the Health Training Package. It covers senior operating room workers who provide a range of varied assistance functions to operating theatre personnel.
Printing and Graphic Arts (Graphic Pre-press),Certificate III,No minimum education,"This qualification is part of the Printing and Graphic Arts Training Package. It applies to individuals working as a pre-press tradesperson in the printing and graphic arts industry. Typically they design and prepare layouts and artwork, manipulate images and text to meet production and design requirements and apply solutions to a defined range of problems associated with, and characteristic to, the print medium. They may also provide some leadership and guidance to others with some limited responsibility for the output of others."
Health Supervision,Certificate IV,No minimum education,"This qualification is part of the Health Training Package. It covers workers in the role of a supervisor or senior workplace trainer in a functional or operational unit/service in a healthcare setting providing health support services, health technical services, health care services, health professional support services and health administration services."
Timber Merchandising,Certificate III,No minimum education. Entry may be gained through progression from a lower level qualification or recognition of existing industry experience.,"This qualification is part of the Forest and Forest Products Training Package. It is for employees in the timber merchandising sector and covers a range of activities from stock control, estimating and costing jobs, cutting and machining material and grading products, to sales and customer service."
Dental Laboratory Assisting,Certificate III,No minimum education,"This qualification is part of the Health Training Package. It provides the knowledge and skills required to assist in a dental laboratory in accordance with state/territory legislation. It covers workers who will be pouring impressions, producing custom-made trays, manufacturing occlusal registration rims, transferring oral records and articulating models for a range of prostheses as well as constructing mouthguards."
Irrigation,Certificate III,No minimum education. This qualification may be accessed by direct entry or by completion of Certificate II in Irrigation.,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It allows individuals to develop skills and knowledge to become installation or operations technicians within the irrigation industry. It applies to skilled workers who carry out installation and operations job roles in the irrigation servicing, amenity horticulture and food and fibre production industries."
ESI Generation - Operations Support,Certificate II,No minimum education,This qualification is part of the Electricity Supply Industry - Generation Sector Training Package. Students will be able to complete work functions such as: local operation of non-critical plant systems; lubrication of plant; undertaking minor maintenance of both electrical and mechanical equipment; plant cleaning; operation of mobile load shifting plant and equipment; observation of safe working practices and environmental procedures.
Certificate IV Timber Truss and Frame Manufacture,Certificate IV,No minimum education. Completion of a relevant lower level qualification or relevant vocational experience is recommended.,"This qualification is part of the Forest and Forest Products Training Package. It is designed for people employed or seeking employment at a supervisory level in the timber truss and frame sector of the forest and forest products industry. It will provide students with skills, knowledge and/or recognition required for employment as a production supervisor in timber truss and frame operations."
Data and Voice Communications,Certificate III,No minimum education,"This qualification is part of the Electrotechnology Training Package. It provides competencies to select, install, set up, test, fault find, repair and maintain telecommunications and high performance data services in buildings and premises. It includes ACMA requirements for Open Cabler Registration."
Irrigation,Certificate IV,No minimum education. This qualification may be accessed by direct entry or by completion of Certificate III in Irrigation.,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It allows individuals to develop technical and supervisory skills and knowledge to become specialists within the irrigation industry. It applies to irrigation installation site managers and managers of irrigation systems in the irrigation servicing, amenity horticulture and food and fibre production industries."
Electrical Machine Repair,Certificate III,No minimum education,"This qualification is part of the Electrotechnology Training Package. It provides competencies to overhaul and repair motor, transformer and control gear including rewinding."
Competitive Systems and Practices,Diploma,Certificate IV in Competitive Systems and Practices; or relevant vocational experience at managerial or technician level with operational and/or technical skills,"This qualification is part of the Sustainability Training Package. It specifies the competencies required by managers, technical specialists or those in similar job roles who are responsible for the implementation of competitive systems and practices in an organisation. It provides the skills needed to improve efficiency in an organisation and complements but does not duplicate qualifications supplying operational, production, maintenance, logistics or other technical skills to industry. The target job roles may be in small or large organisations in production or operations, office maintenance, or transport and logistics."
Massage Therapy Practice,Certificate IV,No minimum education,This qualification is part of the Health Training Package. It covers workers who work as basic level massage therapists. It provides skills in therapeutic relaxation massage including basic health assessment and treatment and may be used by people working within a clinic or in their own clinic; in an aged care facility; in a health service; in a spa facility; or in a palliative care facility or hospital.
Retail Services,Certificate I,No minimum education,This qualification is part of the Retail Services Training Package. It provides the skills and knowledge for an individual to commence work in the retail industry. Individuals with this qualification are able to provide customer service in a retail store and organise and maintain work areas. Individuals may work in a team but always under direct supervision.
Liberal Arts,Certificate IV,Year 12; or mature age entry,This course aims to develop general knowledge and skills for effective participation at university in the arts and social sciences. It also aims to develop competencies for the workplace where advanced communications skills and a broad general knowledge are assets.
Sawdoctoring,Certificate III,Certificate II in Sawdoctoring; or relevant vocational experience,"This qualification is part of the Forest and Forest Products Training Package. It provides specialist coverage of sawdoctoring competencies such as hand sharpening knives and blades, welding, aligning sawing production systems and assessing and maintaining saw and cutter performance."
Public Safety (Emergency Management),Advanced Diploma,Must have potential to undertake vocational education and training at this qualification level.,"This qualification is part of the Public Safety Training Package. It is designed for people with a new or established role in emergency management who wish to gain a formal competency based qualification through coursework and workplace practice. It addresses the planning for, and the management of, major risks. Major risks may arise from the interaction of hazards (such as fire, flood, severe storm) with communities."
Community Services (Alcohol and other drugs),Diploma,Certificate IV in Alcohol and Other Drugs or equivalent; or relevant vocational experience,"This qualification is part of the Community Services Training Package. It applies to workers providing services to clients in relation to alcohol and other drugs issues. The qualification includes counselling, referral, advocacy and education/health promotion services. It requires high-level specialist knowledge, skills and competencies especially in regard to laws affecting clients, the range of services available to them and health issues related to alcohol and drug use and misuse."
Health Administration,Certificate IV,No minimum education,This qualification is part of the Health Training Package. It covers workers who provide administrative functions in health services where the worker is required to work autonomously or as a senior member of staff in an administrative team.
Engineering - Composites Trade,Certificate III,No minimum education; must be an apprentice under a current training contract,"This qualification is part of the Metal and Engineering Training Package. It covers the skills and knowledge required by a tradesperson working with composites within the metal, engineering, manufacturing and associated industries, or other industries where composites tradespersons work. The qualification has been specifically developed to meet the needs of apprentices in the above trade. The qualification packaging has been developed on the assumption that competency will be developed through an integrated combination of on and off-the-job learning strategies such as those delivered through a formal apprenticeship."
Active Volunteering,Certificate III,No minimum education,This qualification is part of the Community Services Training Package. It covers a wide range of topics relating to working in a volunteer capacity. Students will learn how to: work with clients and co-workers from culturally diverse backgrounds; communicate with clients and co-workers; engage in safe work practices; work effectively as part of a group; solve a variety of predictable problems; use discretion and judgement; take responsibility for one's own learning and work output and take limited responsibility for the output of others within the work group.
Theatre Arts,Certificate IV,Year 12 or equivalent; or mature age,"This course allows students to gain the necessary skills to organise a performance, event or project and undertake the associated administrative tasks. Students undertake practical learning in the conception, development, planning, activation, rehearsal and staging of an event or performance."
Nursing (Enrolled-Division 2 nursing),Diploma,No minimum education,This qualification is part of the Health Training Package. It covers the application of nursing skills and knowledge required to be eligible for registration with the Nursing and Midwifery Board of Australia in line with some state/territory nursing and midwifery regulatory authorities. This qualification is suited to Australian Apprenticeship pathways.
Community Pharmacy,Certificate II,No minimum education,This qualification is part of the Retail Services Training Package. It reflects the role of individuals who apply retail operational tasks and provide initial customer service in a community pharmacy environment. These individuals provide preliminary advice to customers and function under supervision as part of a pharmacy team. They recognise the limitations of their job role and refer customers to more senior pharmacy assistants or a pharmacist where appropriate. Work could be undertaken in a variety of community pharmacy settings.
Vocational Tool Design for Plastics,Graduate Certificate,"Relevant Diploma, Advanced Diploma or Bachelor qualification and relevant vocational experience",This course enables participants to meet current and future industry requirements to work effectively across the plastics product and tool design industry.
Community Sector Management,Advanced Diploma,Relevant Diploma or equivalent; or relevant vocational experience,"This qualification is part of the Community Services Training Package. It covers workers who are responsible for coordination and management of smaller organisations or branches/departments of large organisations. These people work independently and report to executive management or boards of management. They undertake a range of functions to achieve results in line with the organisation's goals and strategic directions. This management stream qualification also applies to managers of program areas, projects or services in the community services industry, including managing community houses and volunteer services/programs."
Computer Systems Engineering,Advanced Diploma,Year 12 or equivalent,"This qualification is part of the Electrotechnology Training Package. It provides competencies to design, install, validate, evaluate and administer computer equipment and systems, manage risk, estimate and manage projects and provide technical advice/sales."
Civil Construction,Certificate III,No minimum education,"This qualification is part of the Resources and Infrastructure Industry Training Package. It reflects the role of a skilled operator working in road marking in the civil construction industry, who applies a broad range of skills in a varied work context, using some discretion and judgement and relevant theoretical knowledge."
Family Intake and Support Work,Diploma,Relevant vocational experience,"This qualification is part of the Community Services Training Package. It is designed to provide high level communication skills, intake skills and a broad knowledge of counselling and family dispute resolution to equip intake and support workers employed in various services that provide relationship support and interventions for families. It also provides a broad knowledge of the legal and ethical framework in which they work."
Community Services (Mental health),Diploma,Relevant Certificate IV and/or relevant vocational experience,"This qualification is part of the Community Services Training Package. It applies to workers providing services to clients in relation to mental health issues, and includes counselling, referral, advocacy and education/health promotion services. This qualification requires high-level specialist knowledge, skills and competencies especially in regard to laws affecting clients, the range of services available to them and health issues related to mental health."
Homoeopathy,Advanced Diploma,Year 12 or equivalent,This qualification is part of the Health Training Package. It provides the skills needed to work at practitioner level in homoeopathy including the delivery of homoeopathic treatment and care. It also includes skills needed for basic homoeopathic research.
Electrical - Photovoltaic systems,Certificate IV,Entry requirements may vary among providers. Prerequisite units may apply.,"This qualification is part of the Electrotechnology Training Package. It provides competencies to select, install, set up, test, fault find, repair and maintain photovoltaic systems and equipment in buildings and premises. It includes ERAC requirements for an electrician's licence."
ESI - Network Systems,Certificate IV,No minimum education,"This qualification is part of the Transmission, Distribution and Rail Sector Training Package. Individuals gaining this qualification will be able to acquire additional skills and knowledge needed for a career in one of four specific fields: live line transmission; live line distribution; live line rail traction and or installation and maintenance of specialised underground cables."
Sawmilling and Processing,Certificate II,No minimum education. Entry may be gained through progression from a lower level qualification or recognition of existing industry experience.,"This qualification is part of the Forest and Forest Products Training Package. It is for employees in the sawmilling and processing sector and covers a range of activities from sawing logs, producing hardwood or softwood chips, kiln drying, conducting end matching and finger-jointing operations to weighing loads."
ESI - Power Systems Substations,Certificate IV,No minimum education,"This qualification is part of the Transmission, Distribution and Rail Sector Training Package. It provides competencies to select, install, set up, test, fault find, repair and maintain electrical systems and equipment in building and premises. It includes ERAC requirements for an 'Electrician's licence'. It also provides a career in installation and maintenance of substations such as the maintenance of HV power system, including circuit breakers and transformers. It encompasses the carrying out of substation, switching, inspection, and the diagnosing and rectification of faults. Options are available for skills to be obtained in High Current d.c. switchgear and equipment, installation of HV plant and equipment and or the maintenance and commissioning of discrete protection and control systems."
Health Support Services,Certificate III,No minimum education,"This qualification is part of the Health Training Package. It covers workers who provide support for the effective functioning of health services, requiring discretion and judgement. These functions are carried out under supervision. These workers may also provide a team leadership, workplace training or leading hand function. Health support services do not involve direct care assistance tasks such as assisting other staff with care of clients."
Emergency Medical Service First Response,Certificate II,No minimum education,This qualification is part of the Health Training Package. It covers workers who provide first response care in line with Australian Resuscitation Council Guidelines. This involves provision of first aid care. Occupational titles may include: community-based first responder; volunteer first aider; emergency medical responder; emergency medical service (EMS) first responder; workplace first responder.
Health Administration,Certificate III,No minimum education,"This qualification is part of the Health Training Package. It covers workers who complete a wide range of administrative tasks under direct or indirect supervision. These functions can be carried out in a range of settings, including hospitals, community health centres, private practice and more."
Technical Support,Certificate II,No minimum education,"This qualification is part of the Electrotechnology Training Package. It provides competencies to collect/receive and store stock at work sites, set up and store equipment and tools, assist in installation, fault finding, and maintenance and repair activities."
Nutrition and Dietetic Assistance,Certificate III,No minimum education,This qualification is part of the Health Training Package. It covers workers who provide a range of assistance functions to dieticians and food service managers.
Public Safety (Aquatic Rescue),Certificate II,No minimum education,"This qualification is part of the Public Safety Training Package. It expands on the skills and knowledge required to undertake work in a lifesaver, lifeguard or marine rescue role or undertake vocational experience in beach or marine safety roles."
Building Design,Diploma,Year 12 or equivalent; or experience and/or qualifications are indicative of success,"This qualification is part of the Property Services Training Package. It applies to building designers who undertake building design projects covered by the Building Code of Australia (BCA), except Construction Type A buildings. Building designers may specialise in residential projects, including new buildings, heritage restorations and additions or renovations; or they may also undertake commercial and industrial projects, such as factories, motels, offices, restaurants, retail or service outlets and warehouses."
Timber Truss and Frame Design,Diploma,Prerequisite units from Certificate IV Timber Truss and Frame Design or demonstration of equivalent competence,"This qualification is part of the Forest and Forest Products Training Package. It is designed for people employed or seeking employment at a managerial level in the timber truss and frame sector of the forest and forest products industry. It will provide students with skills, knowledge and/or recognition required for employment as a designer in timber truss and frame operations."
Cleaning Management,Certificate IV,No minimum education,"This qualification is part of the Property Services Training Package. It applies to individuals who use well-developed skills and a broad knowledge base in a wide variety of cleaning management contexts. They may be responsible for wide-ranging operational cleaning management activity and are responsible for managing staff, providing quotations, planning and overseeing work and providing customer support."
Woodmachining,Certificate III,No minimum education. Entry may be gained through progression from a lower level qualification or recognition of existing industry experience.,"This qualification is part of the Forest and Forest Products Training Package. It is for people following a career path in the sawmilling and processing sector. It provides students with the skills, knowledge and/or recognition required by a wood machinist for employment as an operative in the industry and covers a range of advanced specialised techniques and procedures. Students will learn to comply with and demonstrate commitment to all aspects of relevant legislation and codes of practice relating to the operation of an active wood machining worksite including occupational health and safety and environmental issues."
Industrial Automation and Control,Certificate IV,No minimum education,"This qualification is part of the Electrotechnology Training Package. It is for automation and control maintenance technicians. Students will learn how to assemble, set up and program, fault find, repair and maintain automated equipment, apparatus, associated circuits and systems. The course also includes the supervision of plant maintenance programs and providing technical advice to process staff."
Environmental Management,Certificate IV,No minimum education,This course provides training in practical knowledge to manage environmental issues in the field.
Naturopathy,Advanced Diploma,Relevant Diploma; or year 12 or equivalent,This qualification is part of the Health Training Package. It covers the skills needed to practise as a naturopath.
Youth Work,Certificate IV,No minimum education,"This qualification is part of the Community Services Training Package. It covers workers who develop and facilitate programs for young people designed to address the social, behavioural, health, welfare, developmental and protection needs of young people. This work may be undertaken through employment in community, government and welfare agencies. Workers will be responsible for implementing policies and guidelines of the employing organisation, and are largely self-directed with fairly autonomous decision-making capacity under the indirect supervision of a manager."
Population Health,Certificate IV,No minimum education,"This qualification is part of the Health Training Package. It covers workers who are operational in a range of population health projects and programs. Workers at this qualification level undertake work likely to be allocated by a population health professional, and apply competencies within routines, methods and procedures where discretion and judgement would be required under very broad guidance. These workers may be responsible for limited organisation of the work of others."
Nutritional Medicine,Advanced Diploma,Relevant Diploma; or year 12 or equivalent,This qualification is part of the Health Training Package. It covers the skills needed to work at practitioner level in nutritional medicine.
