ANZSCO Code,ANZSCO Title,ANZSCO Description,Softskill1,Softskill2,Softskill3,Softskill4,Softskill5,Techskill1,Techskill2,Techskill3,Technology Tool Example1,Technology Tool Example2,Technology Tool Example3,Course1,Course2,Course3,Course4,Course5,entry_requirements1,entry_requirements2,entry_requirements3,entry_requirements4,entry_requirements5
342411,Cabler (Data And Telecommunications),"Installs internal telecommunications and data cabling, equipment and peripherals for computer networks, telephony, cable television and monitored security and fire alarms.",Initiative and innovation,Planning and organising,Problem solving,Teamwork,Digital engagement,Electrical and electronic systems measurement instruments,Facilities management software,Network monitoring software,Radio frequency RF wattmeters,Computerised Maintenance Management System software CMMS,Wireshark,Certificate III in Data and Voice Communications,Certificate II in Data and Voice Communications,,,,No minimum education,Entry requirements may vary among providers. Prerequisite units may apply.,,,
342412,Telecommunications Cable Jointer,"Joints, terminates and repairs copper and fibre optic telecommunications cables installed in underground pipes, trenches and overhead systems.",Initiative and innovation,Planning and organising,Teamwork,Digital engagement,Writing,Electrical and electronic systems measurement instruments,Facilities management software,Network monitoring software,Radio frequency RF wattmeters,Computerised Maintenance Management System software CMMS,Wireshark,Certificate III in Broadband and Wireless Networks,,,,,No minimum education. Prerequisite units may apply.,,,,
342414,Telecommunications Technician,"Installs, maintains and repairs telecommunications equipment and appliances, such as telephones, mobile telephones, switchboards and data transmission equipment, in homes, businesses, telephone exchanges and other network sites.",Initiative and innovation,Planning and organising,Teamwork,Problem solving,Digital engagement,Audio/video conferencing software,Electrical and electronic systems measurement instruments,Industrial control and automation software,Microsoft Office SharePoint Server MOSS,Radio frequency RF wattmeters,Computerised Numerical Control (CNC) machining centres,Certificate III in Telecommunications Cabling,Certificate III in Telecommunications,,,,No minimum education. Prerequisite units may apply.,No minimum education. Prerequisite units may apply.,,,
351111,Baker,Prepares and bakes bread loaves and rolls.,Initiative and innovation,Teamwork,Planning and organising,Learning,Oral communication,,,,,,,Certificate III in Retail Baking (Bread),Certificate III in Retail Baking (Cake and Pastry),Certificate III in Retail Baking (Combined),Certificate IV in Advanced Baking,,Certificate II in Retail Baking Assistance; or relevant vocational training and/or work experience,Certificate II in Retail Baking Assistance; or relevant vocational training and/or work experience,Certificate II in Retail Baking Assistance; or relevant vocational training and/or work experience,"Certificate III in Retail Baking, or relevant industry skills and knowledge",
351112,Pastrycook,"Prepares and bakes buns, cakes, biscuits and pastry goods.",Initiative and innovation,Planning and organising,Teamwork,Reading,Learning,,,,,,,Certificate III in Retail Baking (Cake and Pastry),Certificate III in Patisserie,Certificate IV in Patisserie,,,Certificate II in Retail Baking Assistance; or relevant vocational training and/or work experience,No minimum education,No minimum education,,
351211,Butcher or Smallgoods Maker,"Selects, cuts, trims, prepares and arranges meat for sale or supply, operates meat or smallgoods processing machines, or manages the processes in the production of smallgoods.",Teamwork,Planning and organising,Initiative and innovation,Oral communication,Problem solving,,,,,,,Certificate I in Meat Processing (Smallgoods),Certificate III in Meat Processing (Food Services),Certificate III in Meat Processing (Boning Room),Certificate II in Meat Processing (Smallgoods),Certificate III in Meat Processing (General),No minimum education,Certificate II in Meat Processing,Certificate I or II in Meat Processing,Certificate I in Meat Processing (Smallgoods),Certificate I or II in Meat Processing
351311,Chef,Plans and organises the preparation and cooking of food in a dining or catering establishment.,Initiative and innovation,Planning and organising,Teamwork,Reading,Oral communication,,,,,,,Certificate IV in Commercial Cookery,Certificate IV in Asian Cookery,,,,No minimum education,No minimum education,,,
351411,Cook,"Prepares, seasons and cooks food in a dining or catering establishment.",Teamwork,Initiative and innovation,Writing,Learning,Oral communication,,,,,,,Certificate III in Commercial Cookery,Certificate III in Asian Cookery,Certificate III in Catering Operations,Certificate IV in Catering Operations,,No minimum education,No minimum education,No minimum education,No minimum education,
361113,Pet Groomer,"Washes, dries, brushes, combs, cuts and styles pets' coats, clips their nails and cleans their ears.",Initiative and innovation,Planning and organising,Reading,Teamwork,Oral communication,Point of sale (POS) and EFTPOS systems,,,Credit card processing machines,,,Certificate III in Pet Grooming,Certificate IV in Pet Styling,,,,No minimum education,No minimum education,,,
361311,Veterinary Nurse,Cares for animals under treatment or in temporary residence at veterinary facilities and assists Veterinarians to perform procedures and operations.,Initiative and innovation,Teamwork,Planning and organising,Digital engagement,Numeracy,Patient management systems and electronic health records,Business intelligence and decision support software,,3M Encoder,MEDITECH HCIS,SAP Business Objects,Diploma of Veterinary Nursing (General Practice),Certificate IV in Equine Dentistry,Certificate IV in Veterinary Nursing,Diploma of Veterinary Nursing (Surgical),Diploma of Veterinary Nursing (Dental),Year 10 and demonstrated competency in veterinary nursing; successful completion of Certificate IV in Veterinary Nursing with experience in general veterinary practice; or at least 2 years recent employment as a veterinary nurse without formal qualification,No minimum education,Certificate II in Animal Studies; or vocational training and/or work experience across a range of work settings,Certificate IV in Veterinary Nursing,"Certificate IV in Veterinary Nursing; employment in a veterinary clinic or equivalent where a registered veterinary dental specialist performs procedures such as periodontics, endodontics, restorative dentistry, oral surgery, prosthodontics, orthodontics and exotic animal dentistry"
362111,Florist,Prepares and sells floral arrangements.,Initiative and innovation,Planning and organising,Teamwork,Oral communication,Digital engagement,,,,,,,Certificate II in Floristry (Assistant),Certificate III in Floristry,Certificate IV in Floristry,Diploma of Floristry Design,,No minimum education,No minimum education,Relevant employment,This qualification is for senior florists with substantial experience that have been recognised as competent through the successful completion of the Certificate IV in Floristry.,
362411,Nurseryperson,"Propagates and cultivates trees, shrubs, and ornamental and flowering plants in a plant or forestry nursery.",Teamwork,Initiative and innovation,Numeracy,Writing,Reading,,,,,,,Certificate II in Retail Nursery,Certificate III in Production Nursery,Certificate III in Retail Nursery,Certificate IV in Production Nursery,Diploma of Production Nursery Management,No minimum education,No minimum education,No minimum education,No minimum entry,No minimum education
391111,Hairdresser,"Cuts, styles, colours, straightens and permanently waves hair, and treats hair and scalp conditions.",Teamwork,Initiative and innovation,Planning and organising,Learning,Problem solving,Point of sale (POS) and EFTPOS systems,,,Credit card processing machines,,,Certificate III in Hairdressing,Certificate IV in Hairdressing,,,,No minimum education,Certificate III in Hairdressing or relevant vocational expertise in the hairdressing industry,,,
392111,Print Finisher,"Binds books and other publications, and finishes printed products by hand or machine.",Planning and organising,Initiative and innovation,Teamwork,Writing,Reading,,,,,,,Certificate III in Printing and Graphic Arts (Print Finishing),,,,,No minimum education,,,,
392112,Screen Printer,"Prepares stencils, and sets up and operates power-driven or hand-operated screen print equipment.",Initiative and innovation,Planning and organising,Teamwork,Writing,Reading,Document management and code versioning software,File storage technologies,Graphics or photo imaging software,Git,Cloud storage solutions,Adobe Photoshop,Certificate II in Printing and Graphic Arts (Screen Printing),,,,,No minimum education,,,,
392211,Graphic Pre-press Trades Worker,"Manipulates, sets and composes text and graphics into a format suitable for printing and other visual media.",Initiative and innovation,Planning and organising,Digital engagement,Teamwork,Writing,Document management and code versioning software,Graphics or photo imaging software,Business intelligence and decision support software,Git,Adobe Photoshop,SAP Business Objects,Diploma of Graphic Design,Advanced Diploma of Graphic Design,Certificate II in Printing and Graphic Arts (Desktop Publishing),Diploma of Printing and Graphic Arts (Digital Production),Certificate III in Printing and Graphic Arts (Graphic Design Production),Certificate IV qualification in a field related to graphic design; or relevant vocational experience,Diploma of Graphic Design; or relevant Diploma; or relevant vocational experience,No minimum education,No minimum education,No minimum education. Certificate II in Printing and Graphic Arts (General) or Certificate II in Printing and Graphic Arts (Desktop Publishing) is recommended.
393212,Clothing Patternmaker,"Draws sets of master patterns following sketches, sample articles and design specifications, and cuts out patterns for garments.",Initiative and innovation,Planning and organising,Oral communication,Reading,Digital engagement,Graphics or photo imaging software,,,Adobe Photoshop,,,Certificate III in Applied Fashion Design and Technology,Certificate IV in Textile Design and Development,Certificate IV in Applied Fashion Design and Technology,Diploma of Applied Fashion Design and Technology,Advanced Diploma of Applied Fashion Design and Technology,Year 11 or equivalent,Year 12 or equivalent,Year 12 or equivalent,No minimum education,Relevant Diploma
393213,Dressmaker or Tailor,"Makes, alters and repairs women's and men's tailored garments, formal wear, couturier clothing, and special occasion wear such as suits, dresses, coats, evening wear and bridal wear.",Initiative and innovation,Planning and organising,Teamwork,Reading,Learning,Social media platforms,,,Facebook,,,Diploma of Costume for Performance,Certificate III in Applied Fashion Design and Technology,Certificate III in Clothing Production,Certificate IV in Clothing Production,,No minimum education,Year 11 or equivalent,No minimum education,No minimum education,
393311,Upholsterer,"Makes, rebuilds and repairs upholstered articles such as chairs, sofas, beds and mattresses.",Initiative and innovation,Planning and organising,Teamwork,Numeracy,Reading,Graphics or photo imaging software,Accounting software,,Adobe Photoshop,MYOB Business Essentials,,Certificate III in Upholstery,,,,,No minimum education,,,,
394111,Cabinetmaker,"Fabricates or repairs wooden furniture, and fits and assembles prepared wooden parts to make furniture.",Planning and organising,Initiative and innovation,Numeracy,Reading,Learning,Technical design and modelling software (2D and 3D),Facilities management software,Industrial control and automation software,Autodesk AutoCAD,Computerised Maintenance Management System software CMMS,Computerised Numerical Control (CNC) machining centres,Certificate III in Cabinet Making,Certificate III in Furniture Making,,,,No minimum education,No minimum education,,,
394211,Furniture Finisher,"Applies finishes, such as stain, lacquer, paint, oil and varnish, to furniture, and polishes and waxes finished furniture surfaces.",Initiative and innovation,Planning and organising,Teamwork,Oral communication,Problem solving,Accounting software,,,MYOB Business Essentials,,,Certificate III in Furniture Finishing,,,,,No minimum education,,,,
394213,Wood Machinist,"Cuts, planes, turns, shapes and sands wood stock to specifications.",Planning and organising,Initiative and innovation,Numeracy,Reading,Learning,Computer aided manufacturing (CAM),Facilities management software,Industrial control and automation software,Computer aided image manufacturing software,Computerised Maintenance Management System software CMMS,Computerised Numerical Control (CNC) machining centres,Certificate III in Furniture Making (Wood Machining),Certificate III in Woodmachining,Certificate III in Timber and Composites Machining,,,No minimum education. Applicants must be employed as apprentices in the wood machining trade.,No minimum education. Entry may be gained through progression from a lower level qualification or recognition of existing industry experience.,No minimum education,,
399212,Gas or Petroleum Operator,"Operates equipment to pump oil and gas from wellheads, and refine and process petroleum products.",Initiative and innovation,Planning and organising,Digital engagement,Numeracy,Reading,,,,,,,Certificate IV in Drilling Operations,,,,,No minimum education,,,,
399213,Power Generation Plant Operator,"Operates boilers, turbogenerators and associated plant to generate electrical power. Registration or licensing is required.",Digital engagement,Teamwork,Reading,Planning and organising,Initiative and innovation,Business intelligence and decision support software,Facilities management software,Industrial control and automation software,SAP Business Objects,Computerised Maintenance Management System software CMMS,Computerised Numerical Control (CNC) machining centres,Diploma of ESI - Power Systems,Certificate III in ESI Generation - Operations,Certificate IV in ESI Generation - Operations,,,No minimum education,No minimum education,No minimum education,,
399311,Gallery or Museum Technician,"Prepares artworks, specimens and artefacts for collections, and arranges and constructs gallery or museum exhibits.",Initiative and innovation,Planning and organising,Reading,Oral communication,Writing,Document management and code versioning software,,,Git,,,"Certificate IV in Library, Information and Cultural Services",,,,,"No minimum education. Candidates entering this qualification may have completed the Certificate III in Information and Cultural Services or other relevant qualifications, or have relevant vocational experience.",,,,
399312,Library Technician,Assists Librarians and other information managers in organising and operating systems for handling recorded material and files.,Initiative and innovation,Reading,Teamwork,Planning and organising,Digital engagement,Social media platforms,Business intelligence and decision support software,Document management and code versioning software,Facebook,SAP Business Objects,Git,"Certificate IV in Library, Information and Cultural Services",Diploma of Library and Information Services,,,,"No minimum education. Candidates entering this qualification may have completed the Certificate III in Information and Cultural Services or other relevant qualifications, or have relevant vocational experience.","No minimum education. Candidates entering this qualification may have completed the Certificate IV in Library, Information and Cultural Services or other relevant qualifications, or have relevant vocational experience.",,,
399411,Jeweller,"Makes and repairs jewellery such as rings, brooches, chains and bracelets, crafts objects out of precious metals, or cuts, shapes and polishes rough gemstones to produce fashion or industrial jewels.",Initiative and innovation,Planning and organising,Reading,Learning,Problem solving,Accounting software,,,MYOB Business Essentials,,,Certificate III in Jewellery Manufacture,Diploma of Jewellery and Object Design,Advanced Diploma of Jewellery and Object Design,,,An apprenticeship contract,Certificate III in Jewellery Manufacture; Certificate IV in Advanced Jewellery Manufacture; or demonstrated vocational experience,Diploma of Jewellery and Object Design; Certificate IV in Advanced Jewellery Manufacture; or demonstrated vocational experience,,
399514,Make Up Artist,"Designs and applies make up to actors, presenters and other performing artists.",Initiative and innovation,Teamwork,Planning and organising,Reading,Learning,Social media platforms,Accounting software,,Facebook,MYOB Business Essentials,,Certificate IV in Make-up,Diploma of Specialist Make-up Services,,,,No minimum education,No minimum education,,,
399515,Musical Instrument Maker or Repairer,"Builds, repairs and restores musical instruments, and modifies and tunes them to owners' specifications.",Planning and organising,Initiative and innovation,Learning,Digital engagement,Writing,Statistical and data analysis software,,,SAS,,,Certificate III in Musical Instrument Making and Repair,Certificate IV in Musical Instrument Making and Repair,,,,No minimum education,No minimum education. Completion of Certificate III in Musical Instrument Making and Repair or equivalent industry experience is recommended.,,,
399516,Sound Technician,"Operates audio equipment to record, enhance, mix and amplify sound in support of television, radio, film or video productions, or stage performances.",Initiative and innovation,Planning and organising,Digital engagement,Teamwork,Writing,Music or sound editing software,Graphics or photo imaging software,Video creation and editing software,Avid Technology Pro Tools,Adobe Photoshop,Adobe After Effects,Certificate II in Music,Certificate III in Music,Certificate III in Technical Production,Certificate IV in Music,Certificate IV in Sound Production,No minimum education,No minimum education,No minimum education,No minimum education,No minimum education
399611,Signwriter,"Designs, fabricates and paints signs for displays, buildings, hoardings, boats and structures. Registration or licensing may be required.",Planning and organising,Teamwork,Initiative and innovation,Digital engagement,Reading,"Materials requirements planning, logistics and supply chain software",,,Materials Requirement Planning (MRP) software,,,Certificate III in Signage,,,,,No minimum education,,,,
399912,Interior Decorator,Plans the interior design of commercial or residential premises and arranges for decorating work to be done.,Initiative and innovation,Planning and organising,Oral communication,Reading,Teamwork,Document management and code versioning software,Graphics or photo imaging software,Project management software,Git,Adobe Photoshop,Microsoft SharePoint,"Certificate IV in Design of Kitchens, Bathrooms and Interior Spaces",Advanced Diploma of Interior Design,Certificate IV in Interior Decoration,Diploma of Interior Design and Decoration,,No minimum education,No minimum education,No minimum education,No minimum education,
399913,Optical Dispenser / Dispensing Optician,"Interprets optical prescriptions, and fits and services optical appliances such as spectacle frames and lenses. Registration or licensing may be required.",Initiative and innovation,Planning and organising,Teamwork,Digital engagement,Oral communication,Accounting software,Point of sale (POS) and EFTPOS systems,,MYOB Business Essentials,Credit card processing machines,,Certificate IV in Optical Dispensing,,,,,Must have a licence to practise prior to placement in workplace; May need to undertake 'Perform edging and fitting' unit,,,,
399914,Optical Mechanic,"Operates machines to grind, polish and surface optical lenses to meet prescription requirements, and fits lenses to spectacle frames.",Initiative and innovation,Planning and organising,Numeracy,Digital engagement,Teamwork,Industrial control and automation software,,,Computerised Numerical Control (CNC) machining centres,,,Certificate IV in Optical Technology,,,,,No minimum education,,,,
399915,Photographer's Assistant,Assists Photographers in taking and developing photographs.,Initiative and innovation,Digital engagement,Oral communication,Planning and organising,Teamwork,Business intelligence and decision support software,Document management and code versioning software,Graphics or photo imaging software,SAP Business Objects,Git,Adobe Photoshop,Certificate IV in Photo Imaging,,,,,No minimum education,,,,
399916,Plastics Technician,"Sets up, adjusts, repairs and troubleshoots machines which manufacture plastics products.",Planning and organising,Initiative and innovation,Digital engagement,Teamwork,Oral communication,Industrial control and automation software,Technical design and modelling software (2D and 3D),,Computerised Numerical Control (CNC) machining centres,Autodesk AutoCAD,,Certificate IV in Polymer Technology,Diploma of Polymer Technology,Advanced Diploma of Polymer Technology,,,No minimum education,Certificate IV in Polymer Technology or equivalent,Diploma of Polymer Technology,,
399918,Fire Protection Equipment Technician,"Installs, tests and maintains fire protection equipment and systems such as extinguishers, hoses, reels, hydrants, fire blankets, exit lighting, fire and smoke doors, gaseous fire suppression systems, passive fire and smoke containment systems and foam generating equipment. Registration or licensing may be required.",Teamwork,Initiative and innovation,Planning and organising,Oral communication,Problem solving,Statistical and data analysis software,Technical design and modelling software (2D and 3D),,SAS,Autodesk AutoCAD,,Certificate III in Fire Protection Inspection and Testing,Certificate II in Fire Protection Inspection and Testing,,,,No minimum education,No minimum education,,,
411111,Ambulance Officer,"Provides specialised transport services and emergency health care for injured, sick, infirm and aged persons. Registration or licensing is required.",Teamwork,Reading,Planning and organising,Oral communication,Learning,GPS and navigation technologies,"Medical examination, measurement, and monitoring devices",Medical treatment devices,Global Positioning System GPS devices,Auditory Brainstem Response (ABR) screening systems,Bilevel Positive Airway Pressure (BPAP) equipment,Diploma of Paramedical Science (Ambulance),Certificate III in Non-Emergency Client Transport,,,,Prerequisite units from Certificate IV in Health Care (Ambulance),No minimum education,,,
411211,Dental Hygienist,Carries out preventative dental procedures under the direction of a Dentist. Registration or licensing is required.,Planning and organising,Teamwork,Initiative and innovation,Writing,Reading,,,,,,,Advanced Diploma of Oral Health (Dental Hygiene),,,,,Certificate IV in Dental Assisting and prerequisite units of radiography,,,,
411213,Dental Technician,Constructs and repairs dentures and other dental appliances. Registration or licensing may be required.,Initiative and innovation,Planning and organising,Teamwork,Writing,Reading,Accounting software,Graphics or photo imaging software,Technical design and modelling software (2D and 3D),MYOB Business Essentials,Adobe Photoshop,Autodesk AutoCAD,Advanced Diploma of Dental Prosthetics,Diploma of Dental Technology,,,,Diploma of Dental Technology or equivalent,Prerequisite units apply. Other requirements may include: relevant vocational experience and/or current employment; Australian year 12 or equivalent or mature age; literacy and numeracy skills,,,
411311,Diversional Therapist,"Plans, designs, coordinates and implements recreation and leisure-based activity programs to support, challenge and enhance the psychological, spiritual, social, emotional and physical wellbeing of individuals. Registration or licensing may be required.",Initiative and innovation,Teamwork,Planning and organising,Writing,Reading,Music or sound editing software,Patient management systems and electronic health records,Instant messaging software,Avid Technology Pro Tools,3M Encoder,MEDITECH HCIS,Certificate IV in Leisure and Health,Diploma of Leisure and Health,,,,No minimum education,"Competency against the following units from the Certificate IV in Leisure and Health: Use targeted communication skills to build relationships; Facilitate responsible behaviour; Facilitate groups for individual outcomes; Follow WHS safety procedures for direct care work; Maintain an effective work environment; Work effectively in the leisure and health industry; Undertake leisure and health programming; Plan, implement and monitor leisure and health programs; Plan leisure and health programs for clients with complex needs; Apply knowledge of human behaviour in leisure activity programs; Apply sociological concepts to leisure and health; Confirm physical health status",,,
411411,Enrolled Nurse,"Provides nursing care to patients in a variety of health, aged care, welfare and community settings under the supervision of Registered Nurses. Registration or licensing is required.",Teamwork,Initiative and innovation,Planning and organising,Writing,Reading,Business intelligence and decision support software,Patient management systems and electronic health records,Project management software,SAP Business Objects,3M Encoder,MEDITECH HCIS,Advanced Diploma of Nursing (Enrolled/Division 2 nursing),Diploma of Nursing (Enrolled-Division 2 nursing),,,,Diploma of Nursing - Enrolled/Division 2,No minimum education,,,
411511,Aboriginal and Torres Strait Islander Health Worker,"Liaises with patients, clients, visitors to hospitals and other medical facilities and staff at health clinics, and works as a team member to arrange, coordinate and provide health care delivery in Aboriginal and Torres Strait Islander community health clinics. Registration or licensing may be required.",Planning and organising,Teamwork,Initiative and innovation,Oral communication,Learning,Business intelligence and decision support software,Patient management systems and electronic health records,Social media platforms,SAP Business Objects,3M Encoder,MEDITECH HCIS,Certificate II in Aboriginal and/or Torres Strait Islander Primary Health Care,Certificate III in Aboriginal and/or Torres Strait Islander Primary Health Care,Certificate IV in Aboriginal and/or Torres Strait Islander Primary Health Care,Certificate IV in Aboriginal and/or Torres Strait Islander Primary Health Care Practice,,No minimum education,No minimum education,No minimum education,No minimum education,
411611,Massage Therapist,"Performs therapeutic massage and administers body treatments for relaxation, health, fitness and remedial purposes.",Initiative and innovation,Planning and organising,Teamwork,Oral communication,Learning,Social media platforms,,,Facebook,,,Diploma of Remedial Massage,Diploma of Traditional Chinese Medicine Remedial Massage (An Mo Tui Na),Certificate IV in Massage Therapy Practice,Diploma of Shiatsu and Oriental Therapies,Advanced Diploma of Myotherapy,Certificate IV in Massage,Relevant Certificate IV or vocational experience,No minimum education,No minimum education,Diploma of Remedial Massage
411711,Community Worker,"Facilitates community development initiatives and collective solutions within a community to address issues, needs and problems associated with recreational, health, housing, employment and other welfare matters.",Teamwork,Initiative and innovation,Planning and organising,Oral communication,Digital engagement,Patient management systems and electronic health records,Business intelligence and decision support software,Social media platforms,3M Encoder,MEDITECH HCIS,SAP Business Objects,Diploma of Community Development,Diploma of Children's Services (Outside school hours care),Diploma of Education Support,Certificate IV in Community Services Work,Certificate IV in Community Development,Certificate IV in Community Development; or equivalent relevant vocational experience,"Candidates must demonstrate competence through a recognised training program or recognition process, in the following units of competency: Identify and respond to children and young people at risk; Ensure the health and safety of children; Contribute to provision of nutritionally balanced food in a safe and hygienic manner; Work within a relevant legal and ethical framework; Support the development of children; Support children to participate in outside school hours care; Develop and implement activities in outside school hours care; Work effectively with children in outside school hours care; Provide experiences to support children's play and learning; Apply first aid; Work effectively with culturally diverse clients and co-workers; Contribute to OHS processes",Certificate IV in Education Support; or relevant vocational experience,No minimum education,No minimum education
411712,Disabilities Services Officer,"Works in a range of service units which provide education and community access to people with intellectual, physical, social and emotional disabilities.",Teamwork,Initiative and innovation,Planning and organising,Oral communication,Digital engagement,Social media platforms,Business intelligence and decision support software,Patient management systems and electronic health records,Facebook,SAP Business Objects,3M Encoder,Diploma of Disability,Diploma of Community Services Coordination,Diploma of Community Services (Mental health),Certificate IV in Disability,Advanced Diploma of Disability,Prerequisite units from Certificate IV in Disability or equivalent; or relevant vocational experience,"Candidates need to have previous work experience in the community sector in a job role that involved self-directed application of knowledge, exercise of independent judgement and decision-making and a range of technical and other skills.",Relevant Certificate IV and/or relevant vocational experience,No minimum education,Relevant employment experience
411713,Family Support Worker,Assists the work of Social Workers and Welfare Workers by providing services and support to families.,Planning and organising,Teamwork,Initiative and innovation,Oral communication,Digital engagement,Business intelligence and decision support software,Patient management systems and electronic health records,,SAP Business Objects,3M Encoder,MEDITECH HCIS,Diploma of Community Services (Financial counselling),Diploma of Family Intake and Support Work,Certificate IV in Mediation,"Certificate IV in Child, Youth and Family Intervention","Diploma of Child, Youth and Family Intervention","It is recommended that candidates have sufficient relevant work experience in a job role involving: the self-directed application of knowledge with substantial depth in some areas, the exercise of independent judgement and decision-making and the application of relevant technical and other skills, to indicate likely success at this level of qualification.",Relevant vocational experience,No minimum education,No minimum education,No minimum education
411715,Residential Care Officer,Provides care and supervision for children or disabled persons in group housing or institutional care.,Teamwork,Initiative and innovation,Planning and organising,Oral communication,Reading,Patient management systems and electronic health records,,,3M Encoder,MEDITECH HCIS,,Diploma of Youth Work,Certificate IV in Aged Care,Certificate IV in Youth Work,Certificate IV in Dementia Practice,Certificate IV in Youth Work,Certificate IV in Youth Work; or relevant vocational experience,Certificate III in Aged Care,No minimum education,Participants must be dementia care experts within their organisations.,No minimum education
411716,Youth Worker,"Assists young people as individuals or groups to solve social, emotional and financial problems in an agency framework.",Teamwork,Planning and organising,Initiative and innovation,Oral communication,Digital engagement,Business intelligence and decision support software,Patient management systems and electronic health records,,SAP Business Objects,3M Encoder,MEDITECH HCIS,Diploma of Youth Work,Certificate IV in Youth Work,Certificate IV in Youth Work,Diploma of Youth Work,Certificate IV in Youth Justice,Certificate IV in Youth Work; or relevant vocational experience,No minimum education,No minimum education,No minimum education,No minimum education
421111,Child Care Worker,"Provides care and supervision for children in programs, such as long day care and occasional care, in childcare centres, hospitals and educational centres. Registration or licensing may be required.",Teamwork,Initiative and innovation,Oral communication,Planning and organising,Writing,Social media platforms,,,Facebook,,,Diploma of Children's Services (Early childhood education and care),Diploma of Children's Services (Outside school hours care),Certificate III in Children's Services,Certificate IV in Children's Services (Outside school hours care),Certificate III in Early Childhood Education and Care,Candidates must demonstrate competence in the following units: Identify and respond to children and young people at risk; Ensure the health and safety of children; Provide care for children; Contribute to provision of nutritionally balanced food in a safe and hygienic manner; Provide care for babies; Work within a relevant legal and ethical framework; Support the development of children; Interact effectively with children; Provide experiences to support children's play and learning; Develop understanding of children's interests and developmental needs; Apply first aid; Contribute to OHS processes,"Candidates must demonstrate competence through a recognised training program or recognition process, in the following units of competency: Identify and respond to children and young people at risk; Ensure the health and safety of children; Contribute to provision of nutritionally balanced food in a safe and hygienic manner; Work within a relevant legal and ethical framework; Support the development of children; Support children to participate in outside school hours care; Develop and implement activities in outside school hours care; Work effectively with children in outside school hours care; Provide experiences to support children's play and learning; Apply first aid; Work effectively with culturally diverse clients and co-workers; Contribute to OHS processes",No minimum education,No minimum education,No minimum education
423111,Aged or Disabled Carer,"Provides general household assistance, emotional support, care and companionship for aged or disabled people in their own homes.",Teamwork,Initiative and innovation,Planning and organising,Writing,Reading,Patient management systems and electronic health records,,,3M Encoder,MEDITECH HCIS,,Certificate III in Disability,Certificate IV in Aged Care,Certificate IV in Mental Health,Certificate III in Aged Care,Certificate IV in Home and Community Care,No minimum education,Certificate III in Aged Care,No minimum education,No minimum education,Prerequisite units: Work effectively with older people; Work effectively with people with a disability; Work effectively with carers
423211,Dental Assistant,"Prepares patients for dental examination and assists Dental Practitioners, Hygienists and Therapists in providing care and treatment.",Teamwork,Initiative and innovation,Planning and organising,Digital engagement,Reading,Accounting software,,,MYOB Business Essentials,,,Certificate IV in Dental Assisting,Certificate III in Dental Laboratory Assisting,Certificate III in Dental Assisting,,,Certificate III in Dental Assisting,No minimum education,No minimum education,,
423311,Hospital Orderly,"Assists with the provision of care to patients in a hospital by ensuring wards are neat and tidy, lifting and turning patients and transporting them in wheelchairs or on movable beds, and providing direct care and support.",Teamwork,Planning and organising,Initiative and innovation,Digital engagement,Learning,Medical imaging apparatus,Patient management systems and electronic health records,,CAT scanners,3M Encoder,MEDITECH HCIS,Certificate II in Health Support Services,Certificate III in Health Support Services,,,,No minimum education,No minimum education,,,
423312,Nursing Support Worker,Provides limited patient care under the direction of nursing staff.,Teamwork,Initiative and innovation,Planning and organising,Writing,Reading,Business intelligence and decision support software,Enterprise resource planning ERP software,"Medical examination, measurement, and monitoring devices",SAP Business Objects,SAP Business Objects,Auditory Brainstem Response (ABR) screening systems,Certificate III in Health Services Assistance,Certificate III in Health Support Services,Certificate III in Nutrition and Dietetic Assistance,Certificate III in Allied Health Assistance,Certificate III in Sterilisation Services,No minimum education. Pre-requisite units apply to some electives.,No minimum education,No minimum education,No minimum education,No minimum education
423313,Personal Care Assistant,Provides routine personal care services to people in a range of health care facilities or in a person's home.,Teamwork,Planning and organising,Reading,Oral communication,Initiative and innovation,Business intelligence and decision support software,Customer relationship management CRM software,Enterprise resource planning ERP software,SAP Business Objects,Salesforce software,SAP Business Objects,Certificate III in Home and Community Care,Certificate IV in Allied Health Assistance,Certificate III in Allied Health Assistance,,,No minimum education,Prerequisite units: Interpret and apply medical terminology appropriately; Assist with an allied health program; Recognise healthy body systems in a health care context; Maintain high standard of client service; Assist with client movement; Communicate and work effectively in health; Comply with infection control policies and procedures,No minimum education,,
423314,Therapy Aide,"Assists therapists in providing therapy programs and in the direct care of their patients in a variety of health, welfare and community settings. Registration or licensing may be required.",Teamwork,Initiative and innovation,Planning and organising,Reading,Oral communication,Business intelligence and decision support software,Patient management systems and electronic health records,Patient management systems and electronic health records,SAP Business Objects,3M Encoder,MEDITECH HCIS,Certificate IV in Allied Health Assistance,Certificate III in Allied Health Assistance,,,,Prerequisite units: Interpret and apply medical terminology appropriately; Assist with an allied health program; Recognise healthy body systems in a health care context; Maintain high standard of client service; Assist with client movement; Communicate and work effectively in health; Comply with infection control policies and procedures,No minimum education,,,
431411,Hotel Service Manager,Supervises and coordinates the activities of hotel service workers.,Teamwork,Initiative and innovation,Planning and organising,Oral communication,Reading,Social media platforms,Bookings and reservations software,Enterprise resource planning ERP software,Facebook,Airline reservation system,SAP Business Objects,Certificate IV in Hospitality,,,,,No minimum education,,,,
